"Criminality avg,","Criminal markets avg,",Human trafficking,Human smuggling,Arms trafficking,Flora crimes,Fauna crimes,Non-renewable resource crimes,Heroin trade,Cocaine trade,Cannabis trade,Synthetic drug trade,Cyber-dependent crimes,Financial crimes,Trade in counterfeit goods,Illicit trade in excisable goods,Extortion and protection racketeering,"Criminal actors avg,",Mafia-style groups,Criminal networks,State-embedded actors,Foreign actors,Private sector actors,"Resilience avg,",Political leadership and governance,Government transparency and accountability,International cooperation,National policies and laws,Judicial system and detention,Law enforcement,Territorial integrity,Anti-money laundering,Economic regulatory capacity,Victim and witness support,Prevention,Non-state actors,Freedom
7.1,7.0,9.0,9.5,9.0,5.5,3.5,6.5,9.5,1.0,7.5,9.0,4.0,7.5,8.5,9.0,6.0,7.2,5.0,8.0,9.0,6.0,8.0,1.5,1.5,1.0,1.0,1.5,1.5,1.5,3.5,1.0,1.5,1.5,1.5,1.0,8
6.93,6.57,8.5,9.5,9.0,1.0,3.5,9.5,2.5,5.5,7.0,7.5,3.5,9.5,6.0,7.0,9.0,7.3,9.0,7.5,9.5,5.5,5.0,1.54,1.5,1.5,2.5,2.0,1.5,1.5,1.5,1.0,2.0,1.0,1.0,1.5,10
8.15,7.7,8.5,8.0,9.0,8.5,8.5,9.0,9.5,3.5,4.5,10.0,7.5,8.5,6.0,7.0,7.5,8.6,9.5,8.0,9.0,9.0,7.5,1.63,1.5,1.5,2.0,2.0,1.5,1.5,2.0,2.0,1.5,1.0,1.5,1.5,9
6.57,5.63,9.0,9.0,9.5,2.5,4.0,7.5,2.5,2.0,4.0,4.5,1.5,8.0,6.5,6.0,8.0,7.5,7.0,8.0,8.0,8.5,6.0,1.75,1.5,1.5,3.0,2.0,1.5,2.0,1.5,2.0,2.0,1.0,1.0,2.0,9
6.75,5.6,7.5,5.5,9.0,7.0,8.0,10.0,1.5,1.5,3.5,7.0,2.0,3.5,7.0,4.5,6.5,7.9,8.0,8.0,9.0,9.0,5.5,1.79,1.5,1.5,3.0,2.0,2.0,1.5,1.5,2.0,1.5,2.5,1.0,1.5,7
6.13,5.27,8.0,7.5,9.0,7.0,5.5,3.0,2.5,2.0,2.0,2.5,2.5,7.0,6.0,5.0,9.5,7.0,9.5,7.5,7.0,5.5,5.5,1.79,1.5,1.0,2.5,2.5,2.0,1.5,1.5,2.0,1.5,1.0,1.5,3.0,8
6.72,6.03,7.5,7.5,8.0,3.5,3.0,9.0,2.0,9.0,7.0,3.0,3.5,8.0,5.5,6.5,7.5,7.4,9.5,5.0,9.0,7.5,6.0,1.88,2.0,1.5,1.5,2.0,1.5,1.5,3.0,2.0,2.0,1.5,2.0,2.0,15
6.32,5.13,8.5,5.5,8.0,7.0,6.5,8.5,2.0,1.5,4.0,1.0,1.0,7.5,6.0,5.0,5.0,7.5,5.0,7.5,9.0,8.0,8.0,1.88,2.0,1.5,2.0,3.0,2.0,2.0,1.5,1.5,2.5,1.0,1.5,2.0,1
7.07,6.43,8.5,9.0,9.0,1.5,3.5,8.5,3.0,2.5,7.5,10.0,4.5,8.0,6.5,6.5,8.0,7.7,4.5,9.0,10.0,8.0,7.0,1.92,2.0,1.0,3.5,2.0,1.5,2.0,1.5,2.0,2.0,2.0,2.0,1.5,1
5.72,5.23,7.0,6.0,6.0,6.0,6.0,6.5,2.5,8.0,6.0,3.5,3.5,4.0,6.0,5.5,2.0,6.2,5.0,6.5,9.0,6.5,4.0,2.08,1.5,1.0,2.0,3.0,2.0,2.5,2.5,2.5,2.0,2.0,3.0,1.0,19
4.87,4.63,8.5,6.5,8.0,2.0,4.0,4.0,3.0,2.5,3.5,3.0,2.0,6.5,5.5,6.0,4.5,5.1,2.0,4.5,9.0,4.0,6.0,2.17,3.0,1.0,2.5,3.0,2.0,1.5,3.0,1.5,2.0,1.5,2.5,2.5,14
4.4,4.4,8.5,5.5,2.0,2.5,2.5,7.0,6.5,1.5,4.0,4.0,2.5,5.5,4.0,5.0,5.0,4.4,2.5,5.0,8.5,3.5,2.5,2.21,2.0,1.5,1.5,2.5,1.5,2.0,4.5,3.5,2.0,2.0,2.0,1.5,2
4.38,3.57,4.5,2.0,5.5,8.0,5.0,6.0,2.0,2.0,3.5,1.5,1.5,6.0,2.0,2.0,2.0,5.2,1.0,2.0,9.0,5.5,8.5,2.21,1.5,1.0,2.0,5.5,2.5,2.0,3.5,2.0,1.5,1.5,2.0,1.5,5
3.97,3.93,9.0,9.5,7.5,1.5,3.0,2.0,3.0,1.5,4.0,1.5,1.5,4.0,3.0,7.0,1.0,4.0,1.0,5.5,9.5,2.5,1.5,2.33,1.0,1.0,2.0,2.5,2.0,3.0,7.0,3.0,2.5,1.0,2.0,1.0,3
5.93,6.47,7.5,7.0,8.0,5.0,5.0,8.0,3.0,6.0,7.0,7.0,5.0,7.0,6.5,7.0,8.0,5.4,4.0,7.0,8.0,4.0,4.0,2.38,2.5,2.5,4.0,2.5,2.5,2.0,1.5,2.5,2.0,1.5,2.0,3.0,29
3.92,3.73,5.0,6.5,3.5,3.0,6.0,2.0,4.5,2.0,3.5,4.5,1.5,5.0,3.5,4.0,1.5,4.1,1.0,4.5,7.0,5.0,3.0,2.38,2.0,2.0,3.0,2.5,2.0,2.0,3.0,4.0,3.0,1.5,1.5,2.0,42
5.5,5.1,7.0,7.5,8.5,1.5,3.5,8.0,2.0,4.5,6.0,7.5,3.0,3.0,5.0,4.5,5.0,5.9,5.0,6.5,8.5,5.0,4.5,2.42,3.0,2.0,5.0,3.0,2.0,2.5,3.0,2.0,2.0,1.0,1.0,2.5,15
5.93,5.77,7.5,7.0,7.0,6.5,4.5,6.5,2.0,8.0,6.5,3.5,3.0,7.5,5.0,5.0,7.0,6.1,8.5,6.5,8.0,4.5,3.0,2.46,2.0,1.5,3.0,4.0,2.5,2.0,2.0,2.5,2.0,1.5,2.5,4.0,31
5.45,4.8,7.0,6.5,4.0,2.5,3.5,7.0,8.5,2.0,6.0,5.5,2.0,6.0,5.5,3.0,3.0,6.1,6.0,5.5,9.0,5.0,5.0,2.58,3.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,7
5.1,4.6,5.5,2.5,5.5,8.5,6.5,1.0,5.0,8.5,5.0,2.0,2.0,6.0,3.0,4.0,4.0,5.6,1.0,8.0,8.5,6.5,4.0,2.58,2.0,2.5,3.5,3.0,3.0,3.0,3.5,3.0,1.5,1.0,2.0,3.0,43
6.37,5.23,8.0,8.0,9.0,2.5,5.5,8.5,2.5,2.5,7.5,5.0,2.5,7.0,3.0,2.5,4.5,7.5,6.5,7.5,8.5,8.0,7.0,2.71,2.0,2.0,5.5,4.5,3.0,2.5,2.5,3.5,2.0,1.0,2.0,2.0,10
4.77,4.53,4.0,5.0,5.5,4.5,4.0,8.5,1.5,8.5,2.0,3.0,5.0,4.5,5.0,4.0,3.0,5.0,3.0,5.0,7.5,5.5,4.0,3.04,3.0,2.0,4.5,3.5,3.0,3.0,2.0,2.0,2.0,3.0,5.0,3.5,79
